time,region_id,year_id,crop_id,growth_stage,crop_coefficient_kc,crop_water_requirement_mmday,yield_reduction_factor,irrigation_id,irrigation_efficiency_percent,water_applied_mm,leaf_temperature_c,stomatal_conductance,updated_at
2020-01-02,1,2020,1,Germination,0.71,4.67,0.433,1,63.0,1.63,29.3,0.448,2020-01-02 02:00:00
2020-01-03,1,2020,1,Germination,0.63,4.01,0.456,1,61.0,1.4,30.2,0.437,2020-01-03 02:00:00
2020-01-04,1,2020,1,Germination,0.62,3.66,0.461,1,56.0,1.28,28.8,0.467,2020-01-04 02:00:00
2020-01-05,1,2020,1,Germination,0.65,3.59,0.493,1,64.0,1.26,31.4,0.486,2020-01-05 02:00:00
2020-01-06,1,2020,1,Germination,0.67,4.59,0.467,1,54.0,1.61,30.1,0.467,2020-01-06 02:00:00
2020-01-07,1,2020,1,Germination,0.66,4.14,0.488,1,61.0,1.45,29.6,0.434,2020-01-07 02:00:00
2020-01-08,1,2020,1,Germination,0.64,4.11,0.486,1,62.0,1.44,30.5,0.433,2020-01-08 02:00:00
2020-01-09,1,2020,1,Germination,0.68,4.0,0.519,1,63.0,1.4,29.7,0.438,2020-01-09 02:00:00
2020-01-10,1,2020,1,Germination,0.71,4.91,0.554,1,73.0,1.72,30.0,0.442,2020-01-10 02:00:00
2020-01-11,1,2020,1,Germination,0.66,3.88,0.544,1,62.0,1.36,30.0,0.433,2020-01-11 02:00:00
2020-01-12,1,2020,1,Germination,0.66,3.98,0.577,1,61.0,1.39,31.4,0.411,2020-01-12 02:00:00
2020-01-13,1,2020,1,Germination,0.69,4.29,0.606,1,61.0,1.5,28.8,0.439,2020-01-13 02:00:00
2020-01-14,1,2020,1,Germination,0.67,4.26,0.565,1,73.0,1.49,31.3,0.432,2020-01-14 02:00:00
2020-01-15,1,2020,1,Germination,0.6,3.85,0.579,1,63.0,1.35,28.6,0.466,2020-01-15 02:00:00
2020-01-16,1,2020,1,Germination,0.66,4.0,0.611,1,56.0,1.4,30.0,0.435,2020-01-16 02:00:00
2020-01-17,1,2020,1,Germination,0.75,4.79,0.633,1,62.0,1.68,28.2,0.421,2020-01-17 02:00:00
2020-01-18,1,2020,1,Germination,0.7,4.23,0.633,1,63.0,1.48,29.1,0.459,2020-01-18 02:00:00
2020-01-19,1,2020,1,Germination,0.67,4.3,0.653,1,60.0,1.5,32.2,0.462,2020-01-19 02:00:00
2020-01-20,1,2020,1,Germination,0.66,3.83,0.675,1,62.0,1.34,29.7,0.435,2020-01-20 02:00:00
2020-01-21,1,2020,1,Germination,0.65,3.95,0.703,1,58.0,1.38,31.2,0.453,2020-01-21 02:00:00
2020-01-22,1,2020,1,Germination,0.71,4.58,0.698,1,61.0,1.6,31.2,0.433,2020-01-22 02:00:00
2020-01-23,1,2020,1,Germination,0.7,4.09,0.732,1,63.0,1.43,25.4,0.432,2020-01-23 02:00:00
2020-01-24,1,2020,1,Germination,0.67,4.16,0.746,1,70.0,1.46,30.6,0.472,2020-01-24 02:00:00
2020-01-25,1,2020,1,Germination,0.65,3.88,0.761,1,68.0,1.36,30.1,0.419,2020-01-25 02:00:00
2020-01-26,1,2020,1,Germination,0.68,4.51,0.666,1,58.0,9.75,26.5,0.411,2020-01-26 02:00:00
2020-01-27,1,2020,1,Germination,0.73,4.72,0.603,1,60.0,1.65,30.6,0.446,2020-01-27 02:00:00
2020-01-28,1,2020,1,Germination,0.71,4.54,0.564,1,66.0,1.59,31.1,0.445,2020-01-28 02:00:00
2020-01-29,1,2020,1,Germination,0.68,4.35,0.593,1,65.0,1.52,32.1,0.429,2020-01-29 02:00:00
2020-01-30,1,2020,1,Germination,0.61,3.59,0.612,1,68.0,1.26,29.9,0.436,2020-01-30 02:00:00
2020-01-31,1,2020,1,Germination,0.69,4.49,0.65,1,64.0,1.57,30.9,0.416,2020-01-31 02:00:00
2020-02-01,1,2020,1,Germination,0.7,4.3,0.681,1,62.0,1.5,28.8,0.452,2020-02-01 02:00:00
2020-02-02,1,2020,1,Germination,0.67,3.87,0.703,1,62.0,1.35,28.7,0.445,2020-02-02 02:00:00
2020-02-03,1,2020,1,Germination,0.66,4.21,0.729,1,57.0,1.47,29.7,0.469,2020-02-03 02:00:00
2020-02-04,1,2020,1,Germination,0.68,4.09,0.724,1,60.0,1.43,32.3,0.412,2020-02-04 02:00:00
2020-02-05,1,2020,1,Germination,0.64,4.05,0.738,1,61.0,1.42,30.5,0.455,2020-02-05 02:00:00
2020-02-06,1,2020,1,Germination,0.72,4.61,0.716,1,60.0,1.61,30.3,0.438,2020-02-06 02:00:00
2020-02-07,1,2020,1,Germination,0.74,4.77,0.749,1,64.0,1.67,29.7,0.397,2020-02-07 02:00:00
2020-02-08,1,2020,1,Germination,0.74,5.0,0.788,1,69.0,1.75,29.5,0.447,2020-02-08 02:00:00
2020-02-09,1,2020,1,Germination,0.73,4.85,0.7,1,60.0,7.66,31.1,0.429,2020-02-09 02:00:00
2020-02-10,1,2020,1,Germination,0.71,4.63,0.591,1,59.0,9.53,28.5,0.401,2020-02-10 02:00:00
2020-02-11,1,2020,1,Germination,0.69,4.27,0.608,1,69.0,1.49,29.0,0.435,2020-02-11 02:00:00
2020-02-12,1,2020,1,Germination,0.73,5.05,0.629,1,55.0,1.77,27.5,0.464,2020-02-12 02:00:00
2020-02-13,1,2020,1,Germination,0.71,4.66,0.663,1,68.0,1.63,29.9,0.39,2020-02-13 02:00:00
2020-02-14,1,2020,1,Germination,0.76,4.64,0.697,1,59.0,1.62,29.9,0.417,2020-02-14 02:00:00
2020-02-15,1,2020,1,Germination,0.73,4.71,0.727,1,57.0,1.65,30.9,0.44,2020-02-15 02:00:00
2020-02-16,1,2020,1,Germination,0.72,4.73,0.764,1,69.0,1.66,28.6,0.435,2020-02-16 02:00:00
2020-02-17,1,2020,1,Germination,0.71,4.52,0.793,1,63.0,1.58,30.1,0.422,2020-02-17 02:00:00
2020-02-18,1,2020,1,Germination,0.73,4.91,0.828,1,60.0,1.72,30.2,0.433,2020-02-18 02:00:00
2020-02-19,1,2020,1,Germination,0.76,5.27,0.856,1,65.0,1.84,31.4,0.48,2020-02-19 02:00:00
2020-02-20,1,2020,1,Germination,0.74,4.69,0.893,1,63.0,1.64,29.4,0.4,2020-02-20 02:00:00
2020-02-21,1,2020,1,Germination,0.72,4.87,0.917,1,64.0,1.7,31.0,0.433,2020-02-21 02:00:00
2020-02-22,1,2020,1,Germination,0.73,4.04,0.917,1,60.0,1.41,30.2,0.435,2020-02-22 02:00:00
2020-02-23,1,2020,1,Germination,0.71,4.73,0.917,1,71.0,1.66,29.6,0.452,2020-02-23 02:00:00
2020-02-24,1,2020,1,Germination,0.73,4.3,0.917,1,72.0,1.5,27.8,0.401,2020-02-24 02:00:00
2020-02-25,1,2020,1,Germination,0.78,5.26,0.917,1,64.0,1.84,31.3,0.399,2020-02-25 02:00:00
2020-02-26,1,2020,1,Germination,0.73,4.76,0.917,1,62.0,1.67,28.6,0.401,2020-02-26 02:00:00
2020-02-27,1,2020,1,Germination,0.69,4.44,0.814,1,63.0,9.72,31.4,0.447,2020-02-27 02:00:00
2020-02-28,1,2020,1,Germination,0.72,4.73,0.716,1,68.0,5.61,31.2,0.421,2020-02-28 02:00:00
2020-02-29,1,2020,1,Germination,0.67,4.34,0.754,1,68.0,1.52,29.8,0.425,2020-02-29 02:00:00
2020-03-01,1,2020,1,Germination,0.63,4.17,0.785,1,74.0,1.46,29.4,0.422,2020-03-01 02:00:00
2020-03-02,1,2020,1,Germination,0.72,4.36,0.803,1,64.0,1.53,31.4,0.411,2020-03-02 02:00:00
2020-03-03,1,2020,1,Germination,0.74,4.33,0.681,1,58.0,1.52,31.9,0.406,2020-03-03 02:00:00
2020-03-04,1,2020,1,Germination,0.71,4.6,0.709,1,65.0,1.61,28.9,0.411,2020-03-04 02:00:00
2020-03-05,1,2020,1,Germination,0.76,4.47,0.724,1,65.0,1.56,30.3,0.391,2020-03-05 02:00:00
2020-03-06,1,2020,1,Germination,0.7,4.52,0.627,1,62.0,1.58,29.0,0.389,2020-03-06 02:00:00
2020-03-07,1,2020,1,Germination,0.74,4.61,0.543,1,62.0,1.61,32.2,0.448,2020-03-07 02:00:00
2020-03-08,1,2020,1,Germination,0.75,5.24,0.568,1,61.0,1.83,29.3,0.409,2020-03-08 02:00:00
2020-03-09,1,2020,1,Germination,0.74,4.59,0.605,1,62.0,1.61,30.2,0.398,2020-03-09 02:00:00
2020-03-10,1,2020,1,Germination,0.76,4.7,0.629,1,64.0,1.64,30.8,0.42,2020-03-10 02:00:00
2020-03-11,1,2020,1,Germination,0.79,5.44,0.662,1,64.0,1.9,31.7,0.383,2020-03-11 02:00:00
2020-03-12,1,2020,1,Germination,0.75,4.61,0.659,1,59.0,1.61,31.4,0.407,2020-03-12 02:00:00
2020-03-13,1,2020,1,Germination,0.76,4.94,0.673,1,62.0,1.73,31.2,0.416,2020-03-13 02:00:00
2020-03-14,1,2020,1,Germination,0.71,4.9,0.698,1,66.0,1.72,29.7,0.433,2020-03-14 02:00:00
2020-03-15,1,2020,1,Vegetative,0.75,5.06,0.723,1,66.0,1.77,30.7,0.427,2020-03-15 02:00:00
2020-03-16,1,2020,1,Vegetative,0.72,4.24,0.734,1,66.0,1.48,29.4,0.432,2020-03-16 02:00:00
2020-03-17,1,2020,1,Vegetative,0.73,4.56,0.77,1,62.0,1.6,29.6,0.411,2020-03-17 02:00:00
2020-03-18,1,2020,1,Vegetative,0.74,5.07,0.797,1,71.0,1.77,32.5,0.388,2020-03-18 02:00:00
2020-03-19,1,2020,1,Vegetative,0.78,5.13,0.793,1,72.0,1.8,31.1,0.44,2020-03-19 02:00:00
2020-03-20,1,2020,1,Vegetative,0.76,5.35,0.835,1,61.0,1.87,32.7,0.387,2020-03-20 02:00:00
2020-03-21,1,2020,1,Vegetative,0.73,4.49,0.872,1,61.0,1.57,31.8,0.419,2020-03-21 02:00:00
2020-03-22,1,2020,1,Vegetative,0.77,5.12,0.883,1,66.0,1.79,32.2,0.416,2020-03-22 02:00:00
2020-03-23,1,2020,1,Vegetative,0.75,5.39,0.814,1,65.0,8.74,30.4,0.386,2020-03-23 02:00:00
2020-03-24,1,2020,1,Vegetative,0.8,5.25,0.844,1,68.0,1.84,31.3,0.415,2020-03-24 02:00:00
2020-03-25,1,2020,1,Vegetative,0.75,4.76,0.869,1,69.0,1.67,30.0,0.395,2020-03-25 02:00:00
2020-03-26,1,2020,1,Vegetative,0.78,5.15,0.906,1,65.0,1.8,29.5,0.427,2020-03-26 02:00:00
2020-03-27,1,2020,1,Vegetative,0.76,4.64,0.887,1,67.0,1.62,31.0,0.421,2020-03-27 02:00:00
2020-03-28,1,2020,1,Vegetative,0.73,5.03,0.917,1,65.0,1.76,33.9,0.425,2020-03-28 02:00:00
2020-03-29,1,2020,1,Vegetative,0.8,5.58,0.917,1,64.0,1.95,29.9,0.403,2020-03-29 02:00:00
2020-03-30,1,2020,1,Vegetative,0.74,4.44,0.917,1,65.0,1.55,29.8,0.396,2020-03-30 02:00:00
2020-03-31,1,2020,1,Vegetative,0.8,5.19,0.917,1,71.0,1.82,29.3,0.426,2020-03-31 02:00:00
2020-04-01,1,2020,1,Vegetative,0.78,5.27,0.917,1,72.0,1.84,31.1,0.367,2020-04-01 02:00:00
2020-04-02,1,2020,1,Vegetative,0.82,5.57,0.917,1,68.0,1.95,30.4,0.372,2020-04-02 02:00:00
2020-04-03,1,2020,1,Vegetative,0.78,5.08,0.914,1,67.0,1.78,31.0,0.394,2020-04-03 02:00:00
2020-04-04,1,2020,1,Vegetative,0.84,5.3,0.917,1,72.0,1.85,31.0,0.385,2020-04-04 02:00:00
2020-04-05,1,2020,1,Vegetative,0.72,4.36,0.87,1,71.0,5.59,30.5,0.375,2020-04-05 02:00:00
2020-04-06,1,2020,1,Vegetative,0.73,4.79,0.906,1,64.0,1.68,31.4,0.38,2020-04-06 02:00:00
2020-04-07,1,2020,1,Vegetative,0.79,5.11,0.917,1,66.0,1.79,30.5,0.419,2020-04-07 02:00:00
2020-04-08,1,2020,1,Vegetative,0.73,4.69,0.917,1,73.0,1.64,30.8,0.41,2020-04-08 02:00:00
2020-04-09,1,2020,1,Vegetative,0.79,5.12,0.903,1,73.0,1.79,28.6,0.386,2020-04-09 02:00:00
2020-04-10,1,2020,1,Vegetative,0.84,5.58,0.917,1,65.0,1.95,32.1,0.382,2020-04-10 02:00:00
2020-04-11,1,2020,1,Vegetative,0.77,5.3,0.917,1,67.0,1.85,32.0,0.369,2020-04-11 02:00:00
2020-04-12,1,2020,1,Vegetative,0.79,5.28,0.917,1,66.0,1.85,30.7,0.358,2020-04-12 02:00:00
2020-04-13,1,2020,1,Vegetative,0.82,5.08,0.917,1,66.0,1.78,27.9,0.372,2020-04-13 02:00:00
2020-04-14,1,2020,1,Vegetative,0.77,4.51,0.917,1,70.0,1.58,30.5,0.421,2020-04-14 02:00:00
2020-04-15,1,2020,1,Vegetative,0.79,5.02,0.917,1,70.0,1.76,31.1,0.393,2020-04-15 02:00:00
2020-04-16,1,2020,1,Vegetative,0.84,5.71,0.917,1,75.0,2.0,32.4,0.383,2020-04-16 02:00:00
2020-04-17,1,2020,1,Vegetative,0.78,4.95,0.917,1,71.0,1.73,32.7,0.375,2020-04-17 02:00:00
2020-04-18,1,2020,1,Vegetative,0.76,5.2,0.917,1,69.0,1.82,31.3,0.347,2020-04-18 02:00:00
2020-04-19,1,2020,1,Vegetative,0.79,5.1,0.917,1,58.0,1.78,32.1,0.377,2020-04-19 02:00:00
2020-04-20,1,2020,1,Vegetative,0.76,4.85,0.917,1,67.0,1.7,31.0,0.398,2020-04-20 02:00:00
2020-04-21,1,2020,1,Vegetative,0.84,6.05,0.913,1,68.0,2.12,32.1,0.387,2020-04-21 02:00:00
2020-04-22,1,2020,1,Vegetative,0.86,5.75,0.917,1,73.0,2.01,30.6,0.372,2020-04-22 02:00:00
2020-04-23,1,2020,1,Vegetative,0.79,4.97,0.874,1,77.0,7.07,30.2,0.394,2020-04-23 02:00:00
2020-04-24,1,2020,1,Vegetative,0.78,4.91,0.905,1,71.0,1.72,29.8,0.366,2020-04-24 02:00:00
2020-04-25,1,2020,1,Vegetative,0.81,5.22,0.917,1,70.0,1.83,31.5,0.377,2020-04-25 02:00:00
2020-04-26,1,2020,1,Vegetative,0.78,5.5,0.905,1,68.0,1.92,29.2,0.393,2020-04-26 02:00:00
2020-04-27,1,2020,1,Vegetative,0.75,5.45,0.909,1,68.0,1.91,34.5,0.381,2020-04-27 02:00:00
2020-04-28,1,2020,1,Vegetative,0.81,5.66,0.843,1,64.0,9.0,30.4,0.43,2020-04-28 02:00:00
2020-04-29,1,2020,1,Vegetative,0.89,5.49,0.807,1,69.0,1.92,30.9,0.371,2020-04-29 02:00:00
2020-04-30,1,2020,1,Vegetative,0.79,4.85,0.816,1,69.0,1.7,32.7,0.396,2020-04-30 02:00:00
2020-05-01,1,2020,1,Vegetative,0.81,5.28,0.814,1,65.0,1.85,30.1,0.383,2020-05-01 02:00:00
2020-05-02,1,2020,1,Flowering,0.82,5.66,0.836,1,69.0,1.98,33.3,0.374,2020-05-02 02:00:00
2020-05-03,1,2020,1,Flowering,0.83,5.88,0.856,1,74.0,2.06,30.1,0.361,2020-05-03 02:00:00
2020-05-04,1,2020,1,Flowering,0.85,5.03,0.892,1,68.0,1.76,31.0,0.361,2020-05-04 02:00:00
2020-05-05,1,2020,1,Flowering,0.76,5.17,0.874,1,69.0,1.81,32.7,0.389,2020-05-05 02:00:00
2020-05-06,1,2020,1,Flowering,0.84,5.1,0.834,1,69.0,5.68,28.9,0.406,2020-05-06 02:00:00
2020-05-07,1,2020,1,Flowering,0.83,4.97,0.817,1,63.0,3.79,32.0,0.386,2020-05-07 02:00:00
2020-05-08,1,2020,1,Flowering,0.78,5.34,0.847,1,67.0,1.87,32.7,0.398,2020-05-08 02:00:00
2020-05-09,1,2020,1,Flowering,0.84,5.97,0.886,1,71.0,2.09,30.8,0.395,2020-05-09 02:00:00
2020-05-10,1,2020,1,Flowering,0.78,5.08,0.916,1,65.0,1.78,30.5,0.383,2020-05-10 02:00:00
2020-05-11,1,2020,1,Flowering,0.8,5.2,0.845,1,70.0,8.65,29.4,0.381,2020-05-11 02:00:00
2020-05-12,1,2020,1,Flowering,0.79,5.26,0.882,1,70.0,1.84,28.9,0.409,2020-05-12 02:00:00
2020-05-13,1,2020,1,Flowering,0.82,5.74,0.891,1,67.0,2.01,31.7,0.384,2020-05-13 02:00:00
2020-05-14,1,2020,1,Flowering,0.8,5.26,0.867,1,73.0,1.84,31.4,0.362,2020-05-14 02:00:00
2020-05-15,1,2020,1,Flowering,0.84,6.11,0.909,1,65.0,2.14,32.3,0.333,2020-05-15 02:00:00
2020-05-16,1,2020,1,Flowering,0.84,5.9,0.825,1,66.0,8.83,31.8,0.356,2020-05-16 02:00:00
2020-05-17,1,2020,1,Flowering,0.84,5.83,0.709,1,60.0,10.07,32.5,0.336,2020-05-17 02:00:00
2020-05-18,1,2020,1,Flowering,0.86,5.73,0.748,1,75.0,2.01,31.9,0.372,2020-05-18 02:00:00
2020-05-19,1,2020,1,Flowering,0.84,5.4,0.705,1,74.0,1.89,32.0,0.4,2020-05-19 02:00:00
2020-05-20,1,2020,1,Flowering,0.89,6.33,0.736,1,68.0,2.22,31.4,0.384,2020-05-20 02:00:00
2020-05-21,1,2020,1,Flowering,0.89,6.15,0.615,1,70.0,8.82,31.5,0.344,2020-05-21 02:00:00
2020-05-22,1,2020,1,Flowering,0.8,5.87,0.506,1,77.0,9.95,31.2,0.351,2020-05-22 02:00:00
2020-05-23,1,2020,1,Flowering,0.91,6.19,0.513,1,68.0,2.17,30.0,0.36,2020-05-23 02:00:00
2020-05-24,1,2020,1,Flowering,0.87,5.77,0.469,1,66.0,2.02,30.2,0.364,2020-05-24 02:00:00
2020-05-25,1,2020,1,Flowering,0.82,5.66,0.508,1,76.0,1.98,32.4,0.382,2020-05-25 02:00:00
2020-05-26,1,2020,1,Flowering,0.86,5.46,0.509,1,84.0,1.91,30.5,0.342,2020-05-26 02:00:00
2020-05-27,1,2020,1,Flowering,0.89,5.82,0.544,1,76.0,2.04,31.9,0.331,2020-05-27 02:00:00
2020-05-28,1,2020,1,Flowering,0.82,5.09,0.517,1,78.0,1.78,29.0,0.339,2020-05-28 02:00:00
2020-05-29,1,2020,1,Flowering,0.84,5.87,0.558,1,73.0,2.05,31.5,0.358,2020-05-29 02:00:00
2020-05-30,1,2020,1,Flowering,0.82,5.64,0.586,1,70.0,1.97,31.1,0.39,2020-05-30 02:00:00
2020-05-31,1,2020,1,Flowering,0.87,5.7,0.573,1,68.0,2.0,30.7,0.399,2020-05-31 02:00:00
2020-06-01,1,2020,1,Flowering,0.85,5.8,0.466,1,71.0,11.61,32.1,0.389,2020-06-01 02:00:00
2020-06-02,1,2020,1,Flowering,0.87,5.79,0.437,1,70.0,2.03,29.9,0.362,2020-06-02 02:00:00
2020-06-03,1,2020,1,Flowering,0.89,5.83,0.373,1,69.0,6.65,31.8,0.384,2020-06-03 02:00:00
2020-06-04,1,2020,1,Flowering,0.84,6.01,0.277,1,78.0,11.31,31.8,0.383,2020-06-04 02:00:00
2020-06-05,1,2020,1,Flowering,0.88,6.14,0.25,1,69.0,10.53,31.1,0.365,2020-06-05 02:00:00
2020-06-06,1,2020,1,Flowering,0.88,6.23,0.291,1,78.0,2.18,31.1,0.35,2020-06-06 02:00:00
2020-06-07,1,2020,1,Flowering,0.82,6.05,0.33,1,72.0,2.12,32.9,0.395,2020-06-07 02:00:00
2020-06-08,1,2020,1,Flowering,0.95,6.88,0.334,1,79.0,2.41,34.1,0.337,2020-06-08 02:00:00
2020-06-09,1,2020,1,Flowering,0.91,6.22,0.365,1,71.0,2.18,31.2,0.397,2020-06-09 02:00:00
2020-06-10,1,2020,1,Flowering,0.87,6.0,0.407,1,72.0,2.1,32.4,0.369,2020-06-10 02:00:00
2020-06-11,1,2020,1,Flowering,0.89,5.75,0.446,1,62.0,2.01,32.1,0.333,2020-06-11 02:00:00
2020-06-12,1,2020,1,Flowering,0.89,5.87,0.464,1,67.0,2.05,31.8,0.329,2020-06-12 02:00:00
2020-06-13,1,2020,1,Flowering,0.88,5.79,0.5,1,72.0,2.03,31.1,0.37,2020-06-13 02:00:00
2020-06-14,1,2020,1,Flowering,0.9,5.98,0.503,1,75.0,2.09,32.5,0.324,2020-06-14 02:00:00
2020-06-15,1,2020,1,Flowering,0.91,6.76,0.479,1,79.0,2.37,32.3,0.366,2020-06-15 02:00:00
2020-06-16,1,2020,1,Flowering,0.88,6.01,0.52,1,73.0,2.1,32.3,0.344,2020-06-16 02:00:00
2020-06-17,1,2020,1,Flowering,0.86,5.71,0.556,1,67.0,2.0,32.2,0.358,2020-06-17 02:00:00
2020-06-18,1,2020,1,Flowering,0.87,5.88,0.529,1,71.0,2.06,31.5,0.33,2020-06-18 02:00:00
2020-06-19,1,2020,1,Flowering,0.88,5.82,0.555,1,78.0,2.04,32.4,0.325,2020-06-19 02:00:00
2020-06-20,1,2020,1,Flowering,0.82,4.81,0.592,1,77.0,1.68,32.0,0.361,2020-06-20 02:00:00
2020-06-21,1,2020,1,Flowering,0.88,5.91,0.632,1,79.0,2.07,32.6,0.358,2020-06-21 02:00:00
2020-06-22,1,2020,1,Flowering,0.88,6.11,0.666,1,66.0,2.14,32.9,0.37,2020-06-22 02:00:00
2020-06-23,1,2020,1,Flowering,0.96,6.43,0.706,1,69.0,2.25,32.9,0.357,2020-06-23 02:00:00
2020-06-24,1,2020,1,Flowering,0.9,5.88,0.721,1,75.0,2.06,32.3,0.351,2020-06-24 02:00:00
