time,region_id,year_id,rainfall_mm,seasonal_rainfall_variability,temperature_max_c,temperature_min_c,temperature_mean_c,relative_humidity_percent,wind_speed_ms,solar_radiation_mjm2day,evapotranspiration_et0_mmday,evapotranspiration_etc_mmday,updated_at
2020-01-02,1,2020,11.5,Low,27.9,15.9,21.9,78.0,3.12,22.48,6.58,6.58,2020-01-02 02:00:00
2020-01-03,1,2020,1.1,Low,28.4,15.6,22.0,69.0,2.4,21.63,6.37,6.37,2020-01-03 02:00:00
2020-01-04,1,2020,2.0,Low,27.1,17.0,22.0,74.0,2.98,20.02,5.9,5.9,2020-01-04 02:00:00
2020-01-05,1,2020,0.2,Low,29.2,15.8,22.5,74.0,3.49,18.51,5.52,5.52,2020-01-05 02:00:00
2020-01-06,1,2020,4.5,Low,27.7,15.8,21.8,66.0,3.13,23.25,6.85,6.85,2020-01-06 02:00:00
2020-01-07,1,2020,1.1,Low,28.5,15.2,21.8,67.0,3.23,21.23,6.28,6.28,2020-01-07 02:00:00
2020-01-08,1,2020,2.9,Low,30.5,16.8,23.7,75.0,2.43,21.37,6.43,6.43,2020-01-08 02:00:00
2020-01-09,1,2020,0.1,Low,27.3,17.5,22.4,71.0,2.97,19.81,5.89,5.89,2020-01-09 02:00:00
2020-01-10,1,2020,0.3,Low,28.1,15.6,21.8,66.0,2.14,23.58,6.91,6.91,2020-01-10 02:00:00
2020-01-11,1,2020,3.1,Low,27.9,15.5,21.7,71.0,3.69,19.92,5.88,5.88,2020-01-11 02:00:00
2020-01-12,1,2020,0.3,Low,29.0,16.1,22.5,70.0,3.76,20.15,6.03,6.03,2020-01-12 02:00:00
2020-01-13,1,2020,0.5,Low,27.0,16.5,21.7,67.0,3.28,21.07,6.22,6.22,2020-01-13 02:00:00
2020-01-14,1,2020,5.5,Low,29.3,16.1,22.7,76.0,2.75,21.46,6.36,6.36,2020-01-14 02:00:00
2020-01-15,1,2020,1.6,Low,26.5,17.6,22.0,72.0,3.08,21.75,6.41,6.41,2020-01-15 02:00:00
2020-01-16,1,2020,0.3,Low,28.9,15.5,22.2,72.0,2.79,20.49,6.05,6.05,2020-01-16 02:00:00
2020-01-17,1,2020,1.0,Low,27.6,16.2,21.9,69.0,2.91,21.66,6.39,6.39,2020-01-17 02:00:00
2020-01-18,1,2020,2.5,Low,27.4,16.4,21.9,72.0,3.15,20.49,6.04,6.04,2020-01-18 02:00:00
2020-01-19,1,2020,1.3,Low,30.1,17.3,23.7,76.0,3.24,21.28,6.42,6.42,2020-01-19 02:00:00
2020-01-20,1,2020,0.9,Low,28.7,15.2,22.0,70.0,3.05,19.61,5.8,5.8,2020-01-20 02:00:00
