time,region_id,year_id,spi_1month,spi_3month,spi_12month,spei_1month,spei_3month,spei_12month,pdsi_value,drought_severity_class,updated_at
2020-01-02,1,2020,5.18,,,5.92,,,,,2020-01-02 02:00:00
2020-01-03,1,2020,-0.25,-0.71,-0.71,-1.05,-1.35,-1.24,-1.65,,2020-01-03 02:00:00
2020-01-04,1,2020,0.26,-0.49,-0.49,-0.32,-0.95,-0.88,-1.17,,2020-01-04 02:00:00
2020-01-05,1,2020,-0.69,-0.67,-0.67,-1.49,-1.31,-1.2,-1.6,Abnormally Dry,2020-01-05 02:00:00
2020-01-06,1,2020,1.54,0.14,0.14,1.19,-0.14,-0.09,-0.18,,2020-01-06 02:00:00
2020-01-07,1,2020,-0.22,-0.54,-0.54,-0.99,-1.16,-1.06,-1.42,,2020-01-07 02:00:00
2020-01-08,1,2020,0.7,-0.12,-0.12,0.17,-0.55,-0.47,-0.68,,2020-01-08 02:00:00
2020-01-09,1,2020,-0.75,-0.75,-0.75,-1.62,-1.45,-1.33,-1.77,Abnormally Dry,2020-01-09 02:00:00
2020-01-10,1,2020,-0.62,-0.63,-0.63,-1.61,-1.42,-1.29,-1.74,Abnormally Dry,2020-01-10 02:00:00
2020-01-11,1,2020,0.82,0.12,0.12,0.41,-0.21,-0.16,-0.27,,2020-01-11 02:00:00
2020-01-12,1,2020,-0.66,-0.66,-0.66,-1.53,-1.35,-1.24,-1.66,Abnormally Dry,2020-01-12 02:00:00
2020-01-13,1,2020,-0.52,-0.55,-0.55,-1.37,-1.23,-1.12,-1.51,Abnormally Dry,2020-01-13 02:00:00
2020-01-14,1,2020,2.03,0.91,0.91,1.9,0.8,0.82,0.96,,2020-01-14 02:00:00
2020-01-15,1,2020,0.02,-0.29,-0.29,-0.71,-0.87,-0.77,-1.07,,2020-01-15 02:00:00
2020-01-16,1,2020,-0.63,-0.66,-0.66,-1.49,-1.35,-1.23,-1.65,Abnormally Dry,2020-01-16 02:00:00
2020-01-17,1,2020,-0.26,-0.42,-0.42,-1.06,-1.06,-0.96,-1.31,,2020-01-17 02:00:00
2020-01-18,1,2020,0.51,0.09,0.09,-0.02,-0.33,-0.26,-0.42,,2020-01-18 02:00:00
2020-01-19,1,2020,-0.14,-0.34,-0.34,-0.91,-0.96,-0.86,-1.18,,2020-01-19 02:00:00
2020-01-20,1,2020,-0.32,-0.45,-0.45,-1.05,-1.04,-0.94,-1.27,,2020-01-20 02:00:00
2020-01-21,1,2020,-0.45,-0.53,-0.53,-1.26,-1.18,-1.07,-1.45,,2020-01-21 02:00:00
2020-01-22,1,2020,0.74,0.33,0.33,0.22,-0.09,-0.02,-0.13,,2020-01-22 02:00:00
2020-01-23,1,2020,-0.8,-0.78,-0.78,-1.68,-1.48,-1.36,-1.81,Abnormally Dry,2020-01-23 02:00:00
2020-01-24,1,2020,0.04,-0.15,-0.15,-0.65,-0.7,-0.61,-0.87,,2020-01-24 02:00:00
2020-01-25,1,2020,-0.03,-0.2,-0.2,-0.7,-0.74,-0.65,-0.91,,2020-01-25 02:00:00
2020-01-26,1,2020,-0.45,-0.51,-0.51,-1.34,-1.23,-1.11,-1.51,,2020-01-26 02:00:00
