time,region_id,year_id,wind_speed_kmh,wind_gust_kmh,wind_direction,rainfall_mm,rainfall_delta_percent,ph_level,npk_index,temperature_c,humidity_percent,updated_at
2020-01-02,1,2020,11.2,22.8,S,11.5,0.0,7.4,Med-High,21.9,78.0,2020-01-02 02:00:00
2020-01-03,1,2020,8.6,13.8,NW,1.1,-91.0,7.3,Med-High,22.0,69.0,2020-01-03 02:00:00
2020-01-04,1,2020,10.7,23.5,SE,2.0,93.0,7.1,Med-High,22.0,74.0,2020-01-04 02:00:00
2020-01-05,1,2020,12.6,28.5,SE,0.2,-90.0,7.1,Med-High,22.5,74.0,2020-01-05 02:00:00
2020-01-06,1,2020,11.3,27.4,E,4.5,2135.0,7.2,Med-High,21.8,66.0,2020-01-06 02:00:00
2020-01-07,1,2020,11.6,21.0,SE,1.1,-75.0,7.2,Med-High,21.8,67.0,2020-01-07 02:00:00
2020-01-08,1,2020,8.8,25.4,N,2.9,158.0,7.2,Med-High,23.7,75.0,2020-01-08 02:00:00
2020-01-09,1,2020,10.7,17.5,SE,0.1,-97.0,7.2,Medium,22.4,71.0,2020-01-09 02:00:00
2020-01-10,1,2020,7.7,24.9,SW,0.3,258.0,7.1,Medium,21.8,66.0,2020-01-10 02:00:00
2020-01-11,1,2020,13.3,25.0,S,3.1,813.0,7.1,Medium,21.7,71.0,2020-01-11 02:00:00
2020-01-12,1,2020,13.6,24.7,SE,0.3,-92.0,7.3,Medium,22.5,70.0,2020-01-12 02:00:00
2020-01-13,1,2020,11.8,26.4,S,0.5,112.0,7.4,Medium,21.7,67.0,2020-01-13 02:00:00
2020-01-14,1,2020,9.9,17.8,SW,5.5,920.0,7.2,Medium,22.7,76.0,2020-01-14 02:00:00
2020-01-15,1,2020,11.1,16.4,SE,1.6,-71.0,7.1,Medium,22.0,72.0,2020-01-15 02:00:00
2020-01-16,1,2020,10.0,19.1,S,0.3,-79.0,7.3,Medium,22.2,72.0,2020-01-16 02:00:00
2020-01-17,1,2020,10.5,27.6,NE,1.0,214.0,7.1,Medium,21.9,69.0,2020-01-17 02:00:00
2020-01-18,1,2020,11.4,19.2,SW,2.5,145.0,7.2,Medium,21.9,72.0,2020-01-18 02:00:00
2020-01-19,1,2020,11.7,23.8,SE,1.3,-50.0,6.9,Medium,23.7,76.0,2020-01-19 02:00:00
2020-01-20,1,2020,11.0,18.8,S,0.9,-27.0,7.1,Low,22.0,70.0,2020-01-20 02:00:00
2020-01-21,1,2020,9.7,22.6,E,0.7,-27.0,7.2,Low,22.1,72.0,2020-01-21 02:00:00
2020-01-22,1,2020,9.0,23.1,S,3.0,346.0,7.2,Low,21.9,73.0,2020-01-22 02:00:00
2020-01-23,1,2020,10.0,26.4,NW,0.0,-100.0,7.0,Low,20.6,73.0,2020-01-23 02:00:00
2020-01-24,1,2020,10.3,26.8,NE,1.6,0.0,7.2,Low,23.2,69.0,2020-01-24 02:00:00
2020-01-25,1,2020,11.5,25.6,S,1.5,-8.0,7.0,Low,21.4,73.0,2020-01-25 02:00:00
2020-01-26,1,2020,10.3,20.7,S,0.7,-55.0,7.1,Medium,21.2,79.0,2020-01-26 02:00:00
2020-01-27,1,2020,10.9,20.1,SW,7.0,942.0,7.2,Medium,22.4,70.0,2020-01-27 02:00:00
2020-01-28,1,2020,12.6,17.8,S,5.3,-25.0,7.2,Medium,23.2,68.0,2020-01-28 02:00:00
2020-01-29,1,2020,10.8,23.2,W,0.6,-88.0,7.1,Medium,22.5,73.0,2020-01-29 02:00:00
2020-01-30,1,2020,11.9,21.3,N,1.2,82.0,7.1,Medium,21.3,74.0,2020-01-30 02:00:00
2020-01-31,1,2020,10.9,21.3,N,0.0,-100.0,7.2,Medium,21.5,67.0,2020-01-31 02:00:00
2020-02-01,1,2020,10.3,16.7,SE,0.4,0.0,7.2,Low,21.9,80.0,2020-02-01 02:00:00
2020-02-02,1,2020,10.1,18.9,E,0.9,130.0,7.1,Low,21.8,74.0,2020-02-02 02:00:00
2020-02-03,1,2020,12.4,19.5,N,0.8,-7.0,7.1,Low,22.1,81.0,2020-02-03 02:00:00
2020-02-04,1,2020,11.4,21.8,NW,2.9,258.0,7.2,Low,23.1,74.0,2020-02-04 02:00:00
2020-02-05,1,2020,12.4,26.2,NE,1.7,-43.0,7.3,Low,23.3,73.0,2020-02-05 02:00:00
2020-02-06,1,2020,13.8,26.2,SW,4.2,149.0,7.3,Low,22.4,68.0,2020-02-06 02:00:00
2020-02-07,1,2020,13.5,30.3,W,0.3,-92.0,7.2,Low,22.3,73.0,2020-02-07 02:00:00
