time,region_id,year_id,precipitation_mm,evapotranspiration_mm,groundwater_depth_m,runoff_mm,river_flow_m3s,reservoir_storage_m3,irrigation_supply_available_m3,soil_water_deficit_index_mm,water_balance_percent,updated_at
2020-01-02,1,2020,11.5,6.6,5.07,1.3,41.5,5031453.0,93303.0,-4.96,175.34,2020-01-02 02:00:00
2020-01-03,1,2020,1.1,6.4,4.67,0.0,12.37,5012892.0,76622.0,5.31,16.62,2020-01-03 02:00:00
2020-01-04,1,2020,2.0,5.9,5.17,0.3,10.7,4950157.0,77669.0,3.86,34.58,2020-01-04 02:00:00
2020-01-05,1,2020,0.2,5.5,4.28,0.0,11.79,4843449.0,95861.0,5.32,3.66,2020-01-05 02:00:00
2020-01-06,1,2020,4.5,6.8,4.76,1.5,17.12,4921189.0,73107.0,2.34,65.9,2020-01-06 02:00:00
2020-01-07,1,2020,1.1,6.3,4.59,0.0,18.02,4911172.0,116623.0,5.16,17.83,2020-01-07 02:00:00
2020-01-08,1,2020,2.9,6.4,4.43,0.0,15.85,4748401.0,104548.0,3.54,44.85,2020-01-08 02:00:00
2020-01-09,1,2020,0.1,5.9,4.76,1.7,12.19,4726285.0,100644.0,5.79,1.62,2020-01-09 02:00:00
2020-01-10,1,2020,0.3,6.9,5.04,0.5,12.68,4821914.0,118856.0,6.57,4.94,2020-01-10 02:00:00
2020-01-11,1,2020,3.1,5.9,4.76,0.2,18.99,4662699.0,105533.0,2.76,53.04,2020-01-11 02:00:00
2020-01-12,1,2020,0.3,6.0,4.4,0.0,11.53,4595485.0,87479.0,5.78,4.19,2020-01-12 02:00:00
2020-01-13,1,2020,0.5,6.2,5.34,0.3,10.06,4486557.0,92867.0,5.69,8.61,2020-01-13 02:00:00
2020-01-14,1,2020,5.5,6.4,5.04,0.9,17.93,4526085.0,83753.0,0.9,85.89,2020-01-14 02:00:00
2020-01-15,1,2020,1.6,6.4,5.11,0.0,15.83,4502468.0,103874.0,4.84,24.46,2020-01-15 02:00:00
2020-01-16,1,2020,0.3,6.1,5.43,0.0,11.48,4401653.0,113048.0,5.73,5.42,2020-01-16 02:00:00
2020-01-17,1,2020,1.0,6.4,5.4,1.6,9.67,4406837.0,97457.0,5.36,16.13,2020-01-17 02:00:00
2020-01-18,1,2020,2.5,6.0,4.97,0.0,16.0,4308786.0,128429.0,3.52,41.71,2020-01-18 02:00:00
2020-01-19,1,2020,1.3,6.4,4.83,0.6,14.51,4315499.0,96827.0,5.16,19.64,2020-01-19 02:00:00
2020-01-20,1,2020,0.9,5.8,5.55,1.9,12.02,4224706.0,102413.0,4.88,15.83,2020-01-20 02:00:00
2020-01-21,1,2020,0.7,6.1,5.22,0.0,8.81,4095483.0,80523.0,5.42,10.95,2020-01-21 02:00:00
2020-01-22,1,2020,3.0,6.4,5.2,0.6,20.17,4056925.0,111701.0,3.48,46.05,2020-01-22 02:00:00
2020-01-23,1,2020,0.0,5.8,4.1,0.0,4.9,4086529.0,115047.0,5.85,0.0,2020-01-23 02:00:00
2020-01-24,1,2020,1.6,6.2,4.58,0.0,18.3,4058300.0,73467.0,4.6,26.04,2020-01-24 02:00:00
2020-01-25,1,2020,1.5,6.0,4.97,0.4,15.65,4037983.0,103088.0,4.49,24.87,2020-01-25 02:00:00
2020-01-26,1,2020,0.7,6.6,5.59,1.2,7.75,3952118.0,159214.0,1.88,133.27,2020-01-26 02:00:00
2020-01-27,1,2020,7.0,6.5,4.85,0.4,27.29,3914684.0,132958.0,-0.54,108.42,2020-01-27 02:00:00
2020-01-28,1,2020,5.3,6.4,5.07,0.5,26.27,3921708.0,179672.0,1.1,82.83,2020-01-28 02:00:00
2020-01-29,1,2020,0.6,6.4,4.38,0.4,10.35,3941978.0,131292.0,5.75,10.03,2020-01-29 02:00:00
2020-01-30,1,2020,1.2,5.9,4.59,0.4,12.72,3863084.0,142555.0,4.71,19.86,2020-01-30 02:00:00
2020-01-31,1,2020,0.0,6.5,4.83,1.0,12.22,3696406.0,119925.0,6.51,0.0,2020-01-31 02:00:00
2020-02-01,1,2020,0.4,6.1,5.31,0.7,15.81,3651246.0,118970.0,5.76,6.17,2020-02-01 02:00:00
2020-02-02,1,2020,0.9,5.8,5.04,0.0,13.55,3495070.0,133418.0,4.91,15.09,2020-02-02 02:00:00
2020-02-03,1,2020,0.8,6.4,4.37,0.0,11.65,3627983.0,157008.0,5.56,12.78,2020-02-03 02:00:00
2020-02-04,1,2020,2.9,6.0,5.5,1.1,16.89,3566706.0,138265.0,3.1,48.45,2020-02-04 02:00:00
2020-02-05,1,2020,1.7,6.3,4.92,1.5,17.64,3534167.0,165347.0,4.66,26.44,2020-02-05 02:00:00
2020-02-06,1,2020,4.2,6.4,4.89,1.5,15.63,3541395.0,148943.0,2.23,65.09,2020-02-06 02:00:00
2020-02-07,1,2020,0.3,6.5,4.22,0.0,13.39,3442431.0,134244.0,6.11,5.24,2020-02-07 02:00:00
2020-02-08,1,2020,0.0,6.8,5.35,1.0,12.88,3291605.0,117723.0,6.76,0.0,2020-02-08 02:00:00
2020-02-09,1,2020,2.6,6.6,5.26,0.0,17.97,3308118.0,163377.0,1.03,129.34,2020-02-09 02:00:00
2020-02-10,1,2020,1.9,6.5,4.99,0.7,8.95,3289717.0,212410.0,0.66,150.52,2020-02-10 02:00:00
2020-02-11,1,2020,1.3,6.2,5.46,0.0,13.28,3248612.0,179806.0,4.87,21.28,2020-02-11 02:00:00
2020-02-12,1,2020,1.3,6.9,5.1,1.2,7.9,3189928.0,234041.0,5.67,18.14,2020-02-12 02:00:00
2020-02-13,1,2020,0.2,6.6,5.9,0.0,12.04,3270292.0,189385.0,6.33,3.45,2020-02-13 02:00:00
2020-02-14,1,2020,0.2,6.1,5.59,0.3,11.37,3054480.0,216667.0,5.89,3.56,2020-02-14 02:00:00
2020-02-15,1,2020,0.5,6.5,5.32,0.9,7.55,2952322.0,257767.0,5.92,8.29,2020-02-15 02:00:00
2020-02-16,1,2020,0.0,6.6,5.18,1.1,9.2,2938502.0,208945.0,6.57,0.0,2020-02-16 02:00:00
2020-02-17,1,2020,0.6,6.4,5.1,0.0,14.4,2840927.0,197226.0,5.74,9.7,2020-02-17 02:00:00
2020-02-18,1,2020,0.3,6.7,5.04,0.3,7.36,2750804.0,214281.0,6.44,4.35,2020-02-18 02:00:00
2020-02-19,1,2020,0.9,6.9,5.24,0.5,11.41,2791764.0,197938.0,6.04,12.9,2020-02-19 02:00:00
2020-02-20,1,2020,0.0,6.3,5.27,0.0,9.78,2645086.0,228672.0,6.31,0.4,2020-02-20 02:00:00
2020-02-21,1,2020,0.4,6.8,4.42,0.9,10.69,2573092.0,188105.0,6.38,5.66,2020-02-21 02:00:00
2020-02-22,1,2020,0.0,5.5,5.36,0.3,10.64,2590073.0,201286.0,5.53,0.0,2020-02-22 02:00:00
2020-02-23,1,2020,0.7,6.7,4.74,0.0,11.64,2473212.0,201897.0,5.99,10.1,2020-02-23 02:00:00
2020-02-24,1,2020,1.6,5.9,5.45,0.0,14.21,2445581.0,196377.0,4.29,27.18,2020-02-24 02:00:00
2020-02-25,1,2020,1.0,6.7,5.56,0.7,11.39,2346640.0,197215.0,5.72,15.22,2020-02-25 02:00:00
2020-02-26,1,2020,0.0,6.5,5.25,0.0,14.92,2356776.0,253286.0,6.5,0.21,2020-02-26 02:00:00
2020-02-27,1,2020,1.3,6.4,4.75,1.0,11.05,2304074.0,205401.0,1.05,147.14,2020-02-27 02:00:00
2020-02-28,1,2020,5.4,6.6,5.05,0.9,26.97,2349642.0,265435.0,-0.83,142.74,2020-02-28 02:00:00
2020-02-29,1,2020,0.0,6.5,4.52,0.0,6.48,2268876.0,247334.0,6.48,0.0,2020-02-29 02:00:00
2020-03-01,1,2020,0.6,6.6,5.81,0.0,10.5,2221225.0,283373.0,6.05,8.56,2020-03-01 02:00:00
2020-03-02,1,2020,1.3,6.1,5.04,1.1,9.15,2065489.0,257182.0,4.73,21.88,2020-03-02 02:00:00
2020-03-03,1,2020,11.0,5.9,4.79,2.6,39.69,2070220.0,275881.0,-5.13,187.65,2020-03-03 02:00:00
2020-03-04,1,2020,0.7,6.5,4.6,0.0,16.37,2106775.0,271501.0,5.82,10.14,2020-03-04 02:00:00
2020-03-05,1,2020,1.4,5.9,4.98,1.2,14.31,2049326.0,263101.0,4.47,23.98,2020-03-05 02:00:00
2020-03-06,1,2020,9.4,6.5,5.26,1.2,33.23,2036278.0,279226.0,-2.95,145.67,2020-03-06 02:00:00
2020-03-07,1,2020,8.5,6.2,5.28,0.5,29.97,2142220.0,268618.0,-2.25,136.07,2020-03-07 02:00:00
2020-03-08,1,2020,1.0,7.0,5.53,0.8,14.17,2026943.0,262066.0,5.97,14.57,2020-03-08 02:00:00
2020-03-09,1,2020,0.0,6.2,5.06,0.0,12.4,2087008.0,277461.0,6.21,0.0,2020-03-09 02:00:00
2020-03-10,1,2020,0.9,6.2,4.49,0.0,11.5,1891036.0,248634.0,5.29,14.52,2020-03-10 02:00:00
2020-03-11,1,2020,0.5,6.9,5.21,1.5,8.12,1803689.0,285727.0,6.36,7.54,2020-03-11 02:00:00
2020-03-12,1,2020,2.8,6.1,5.88,0.0,12.52,1774291.0,252229.0,3.37,45.22,2020-03-12 02:00:00
2020-03-13,1,2020,1.7,6.5,5.37,0.1,12.36,1707221.0,295385.0,4.77,26.69,2020-03-13 02:00:00
2020-03-14,1,2020,1.1,6.9,4.78,0.1,15.64,1634223.0,280827.0,5.84,15.37,2020-03-14 02:00:00
2020-03-15,1,2020,1.0,6.8,4.55,0.8,4.44,1737381.0,273869.0,5.76,14.76,2020-03-15 02:00:00
2020-03-16,1,2020,1.7,5.9,5.38,0.9,11.74,1667433.0,274682.0,4.17,29.27,2020-03-16 02:00:00
2020-03-17,1,2020,0.0,6.2,4.9,0.2,8.72,1458455.0,258642.0,6.24,0.0,2020-03-17 02:00:00
2020-03-18,1,2020,1.0,6.8,4.51,0.2,14.92,1541454.0,261694.0,5.84,14.65,2020-03-18 02:00:00
2020-03-19,1,2020,3.0,6.6,4.62,0.6,12.49,1452224.0,295613.0,3.54,46.19,2020-03-19 02:00:00
2020-03-20,1,2020,0.0,7.0,5.37,0.4,15.94,1397344.0,251356.0,7.04,0.0,2020-03-20 02:00:00
2020-03-21,1,2020,0.1,6.1,4.72,0.1,11.15,1310743.0,271181.0,6.07,1.27,2020-03-21 02:00:00
2020-03-22,1,2020,2.0,6.6,5.13,0.9,14.96,1339701.0,264105.0,4.68,29.57,2020-03-22 02:00:00
2020-03-23,1,2020,0.6,7.2,5.3,0.0,11.77,1277791.0,312813.0,3.15,103.84,2020-03-23 02:00:00
2020-03-24,1,2020,0.7,6.6,4.63,1.3,15.21,1115329.0,274532.0,5.9,10.0,2020-03-24 02:00:00
2020-03-25,1,2020,0.8,6.3,4.41,1.0,12.83,1067200.0,306733.0,5.49,13.38,2020-03-25 02:00:00
