time,region_id,year_id,ndvi,ndwi,land_surface_temperature_c,satellite_soil_moisture_percent,satellite_source,vegetation_condition_index,evapotranspiration_sebal_mmday,updated_at
2020-01-02,1,2020,0.729,0.6,24.81,29.92,MODIS,77.54,6.49,2020-01-02 02:00:00
2020-01-03,1,2020,0.727,0.215,27.54,33.03,MODIS,76.8,5.8,2020-01-03 02:00:00
2020-01-04,1,2020,0.747,0.289,26.52,31.66,MODIS,84.79,5.35,2020-01-04 02:00:00
2020-01-05,1,2020,0.756,0.211,27.8,32.17,MODIS,88.7,4.78,2020-01-05 02:00:00
2020-01-06,1,2020,0.737,0.43,25.39,30.82,MODIS,80.85,6.1,2020-01-06 02:00:00
2020-01-07,1,2020,0.745,0.21,26.24,29.91,MODIS,84.22,5.67,2020-01-07 02:00:00
2020-01-08,1,2020,0.754,0.326,25.38,34.66,MODIS,87.77,6.17,2020-01-08 02:00:00
2020-01-09,1,2020,0.746,0.194,26.01,29.63,MODIS,84.7,5.49,2020-01-09 02:00:00
2020-01-10,1,2020,0.744,0.211,26.66,31.43,MODIS,83.74,6.22,2020-01-10 02:00:00
2020-01-11,1,2020,0.784,0.346,26.69,33.57,MODIS,100.0,5.23,2020-01-11 02:00:00
2020-01-12,1,2020,0.769,0.194,25.82,30.57,MODIS,93.62,5.49,2020-01-12 02:00:00
2020-01-13,1,2020,0.753,0.216,25.98,27.17,MODIS,87.34,5.46,2020-01-13 02:00:00
2020-01-14,1,2020,0.758,0.422,26.86,29.95,MODIS,89.31,5.78,2020-01-14 02:00:00
2020-01-15,1,2020,0.778,0.278,25.77,31.74,MODIS,97.4,5.7,2020-01-15 02:00:00
2020-01-16,1,2020,0.763,0.176,27.95,31.41,MODIS,91.56,5.33,2020-01-16 02:00:00
2020-01-17,1,2020,0.697,0.213,25.74,30.98,MODIS,64.6,5.98,2020-01-17 02:00:00
2020-01-18,1,2020,0.732,0.324,26.55,23.4,MODIS,78.77,5.92,2020-01-18 02:00:00
2020-01-19,1,2020,0.733,0.232,25.15,30.74,MODIS,79.14,6.27,2020-01-19 02:00:00
2020-01-20,1,2020,0.729,0.215,26.99,28.2,MODIS,77.56,5.39,2020-01-20 02:00:00
2020-01-21,1,2020,0.733,0.202,27.18,31.53,MODIS,79.36,5.55,2020-01-21 02:00:00
2020-01-22,1,2020,0.719,0.336,27.04,29.23,MODIS,73.46,6.09,2020-01-22 02:00:00
2020-01-23,1,2020,0.781,0.205,26.61,25.59,MODIS,98.58,4.88,2020-01-23 02:00:00
2020-01-24,1,2020,0.734,0.217,26.75,31.81,MODIS,79.85,5.54,2020-01-24 02:00:00
2020-01-25,1,2020,0.726,0.236,25.16,30.08,MODIS,76.47,4.98,2020-01-25 02:00:00
2020-01-26,1,2020,0.75,0.227,25.54,29.51,MODIS,86.04,5.91,2020-01-26 02:00:00
2020-01-27,1,2020,0.734,0.483,27.0,28.02,MODIS,79.65,6.08,2020-01-27 02:00:00
2020-01-28,1,2020,0.716,0.429,26.36,32.04,MODIS,72.42,5.5,2020-01-28 02:00:00
2020-01-29,1,2020,0.741,0.186,25.73,27.39,MODIS,82.68,6.07,2020-01-29 02:00:00
2020-01-30,1,2020,0.707,0.254,26.65,30.59,MODIS,68.96,5.5,2020-01-30 02:00:00
2020-01-31,1,2020,0.735,0.186,26.21,29.76,MODIS,80.15,4.82,2020-01-31 02:00:00
2020-02-01,1,2020,0.736,0.207,25.93,30.11,MODIS,80.56,5.11,2020-02-01 02:00:00
2020-02-02,1,2020,0.739,0.231,25.75,30.73,MODIS,81.59,4.95,2020-02-02 02:00:00
2020-02-03,1,2020,0.749,0.235,26.9,29.62,MODIS,85.89,5.45,2020-02-03 02:00:00
2020-02-04,1,2020,0.765,0.283,26.93,27.65,MODIS,92.38,5.43,2020-02-04 02:00:00
2020-02-05,1,2020,0.722,0.265,27.08,31.11,MODIS,74.79,5.15,2020-02-05 02:00:00
2020-02-06,1,2020,0.743,0.359,26.16,27.51,MODIS,83.28,6.05,2020-02-06 02:00:00
2020-02-07,1,2020,0.746,0.224,26.37,30.08,MODIS,84.6,6.03,2020-02-07 02:00:00
2020-02-08,1,2020,0.745,0.187,25.04,28.67,MODIS,83.98,6.07,2020-02-08 02:00:00
2020-02-09,1,2020,0.728,0.271,26.2,32.15,MODIS,77.11,6.04,2020-02-09 02:00:00
