time,region_id,year_id,crop_id,irrigation_id,risk_level,risk_score,recommendation,factors,created_at
2020-01-02,1,2020,1,1,Low,5.1,Maintain current irrigation schedule and monitor weekly.,"{""rainfall_deficit"": 8.5, ""soil_moisture"": 34.0, ""temperature"": 27.9}",2020-01-02 01:00:00
2020-01-03,1,2020,1,1,Moderate,28.4,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.9, ""soil_moisture"": 32.7, ""temperature"": 28.4}",2020-01-03 01:00:00
2020-01-04,1,2020,1,1,Low,22.6,Maintain current irrigation schedule and monitor weekly.,"{""rainfall_deficit"": 18.0, ""soil_moisture"": 32.3, ""temperature"": 27.1}",2020-01-04 01:00:00
2020-01-05,1,2020,1,1,Moderate,32.6,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.8, ""soil_moisture"": 30.4, ""temperature"": 29.2}",2020-01-05 01:00:00
2020-01-06,1,2020,1,1,Low,24.5,Maintain current irrigation schedule and monitor weekly.,"{""rainfall_deficit"": 15.5, ""soil_moisture"": 32.0, ""temperature"": 27.7}",2020-01-06 01:00:00
2020-01-07,1,2020,1,1,Moderate,32.8,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.9, ""soil_moisture"": 30.7, ""temperature"": 28.5}",2020-01-07 01:00:00
2020-01-08,1,2020,1,1,Moderate,29.9,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 17.1, ""soil_moisture"": 30.9, ""temperature"": 30.5}",2020-01-08 01:00:00
2020-01-09,1,2020,1,1,Moderate,33.6,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.9, ""soil_moisture"": 28.8, ""temperature"": 27.3}",2020-01-09 01:00:00
2020-01-10,1,2020,1,1,Moderate,40.8,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.7, ""soil_moisture"": 26.8, ""temperature"": 28.1}",2020-01-10 01:00:00
2020-01-11,1,2020,1,1,Moderate,32.8,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 16.9, ""soil_moisture"": 27.3, ""temperature"": 27.9}",2020-01-11 01:00:00
2020-01-12,1,2020,1,1,Moderate,43.3,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.7, ""soil_moisture"": 25.4, ""temperature"": 29.0}",2020-01-12 01:00:00
2020-01-13,1,2020,1,1,Moderate,43.7,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.5, ""soil_moisture"": 23.7, ""temperature"": 27.0}",2020-01-13 01:00:00
2020-01-14,1,2020,1,1,Moderate,32.1,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 14.5, ""soil_moisture"": 26.1, ""temperature"": 29.3}",2020-01-14 01:00:00
2020-01-15,1,2020,1,1,Moderate,35.7,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.4, ""soil_moisture"": 25.3, ""temperature"": 26.5}",2020-01-15 01:00:00
2020-01-16,1,2020,1,1,Moderate,45.7,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.7, ""soil_moisture"": 23.3, ""temperature"": 28.9}",2020-01-16 01:00:00
2020-01-17,1,2020,1,1,Moderate,46.2,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.0, ""soil_moisture"": 22.0, ""temperature"": 27.6}",2020-01-17 01:00:00
2020-01-18,1,2020,1,1,Moderate,42.1,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 17.5, ""soil_moisture"": 22.0, ""temperature"": 27.4}",2020-01-18 01:00:00
2020-01-19,1,2020,1,1,Moderate,49.4,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.7, ""soil_moisture"": 20.8, ""temperature"": 30.1}",2020-01-19 01:00:00
