time,region_id,year_id,moisture_content_percent,sand_ratio,clay_ratio,silt_ratio,root_zone_depth_mm,organic_matter_percent,infiltration_rate_mmhr,field_capacity_percent,wilting_point_percent,salinity_ece_dsm,soil_ph_level,updated_at
2020-01-02,1,2020,34.77,39.64,23.04,37.32,422.0,2.2,9.8,29.77,12.93,0.72,7.1,2020-01-02 02:00:00
2020-01-03,1,2020,31.36,46.61,25.3,28.09,407.0,2.41,11.59,30.75,13.69,0.838,7.0,2020-01-03 02:00:00
2020-01-04,1,2020,31.5,41.39,24.65,33.96,420.0,2.23,13.84,32.69,13.64,0.779,7.0,2020-01-04 02:00:00
2020-01-05,1,2020,32.25,41.25,24.09,34.66,419.0,2.03,10.27,31.81,14.66,0.71,7.2,2020-01-05 02:00:00
2020-01-06,1,2020,32.62,39.32,23.35,37.33,415.0,2.0,11.53,31.18,14.71,0.836,7.1,2020-01-06 02:00:00
2020-01-07,1,2020,29.54,39.15,24.41,36.44,422.0,2.23,11.76,30.41,14.78,0.733,6.9,2020-01-07 02:00:00
2020-01-08,1,2020,31.08,46.09,23.3,30.61,415.0,2.21,9.75,29.76,15.14,0.832,7.1,2020-01-08 02:00:00
2020-01-09,1,2020,28.06,42.34,22.85,34.81,428.0,2.24,9.87,32.98,14.46,0.84,6.9,2020-01-09 02:00:00
2020-01-10,1,2020,26.9,44.04,22.33,33.63,415.0,2.06,11.78,31.76,14.07,0.819,7.0,2020-01-10 02:00:00
2020-01-11,1,2020,26.61,43.24,22.1,34.66,423.0,1.96,10.42,31.84,14.09,0.753,7.1,2020-01-11 02:00:00
2020-01-12,1,2020,26.31,43.99,23.91,32.1,426.0,2.12,11.44,30.33,12.85,0.797,7.0,2020-01-12 02:00:00
2020-01-13,1,2020,23.97,44.73,24.7,30.57,429.0,2.07,11.34,30.4,14.63,0.817,7.0,2020-01-13 02:00:00
2020-01-14,1,2020,27.52,43.39,24.5,32.11,417.0,2.51,14.19,31.9,13.8,0.817,6.8,2020-01-14 02:00:00
2020-01-15,1,2020,24.3,42.92,23.95,33.13,428.0,2.25,12.63,30.12,13.88,0.819,7.0,2020-01-15 02:00:00
2020-01-16,1,2020,21.33,41.71,21.83,36.46,445.0,2.22,10.62,30.58,15.32,0.792,6.9,2020-01-16 02:00:00
2020-01-17,1,2020,24.36,41.37,23.34,35.29,413.0,2.41,12.32,30.1,14.56,0.815,7.0,2020-01-17 02:00:00
2020-01-18,1,2020,21.59,35.83,24.32,39.85,422.0,2.03,11.48,31.99,12.77,0.88,6.9,2020-01-18 02:00:00
2020-01-19,1,2020,22.94,40.57,24.42,35.01,419.0,2.13,11.54,30.91,14.29,0.802,6.9,2020-01-19 02:00:00
2020-01-20,1,2020,19.02,42.32,22.79,34.89,427.0,2.19,10.8,31.98,14.21,0.848,7.1,2020-01-20 02:00:00
2020-01-21,1,2020,17.96,42.44,24.91,32.65,419.0,2.32,12.25,29.76,13.57,0.881,6.9,2020-01-21 02:00:00
2020-01-22,1,2020,17.0,42.16,24.0,33.84,420.0,2.25,11.86,29.18,12.99,0.794,6.9,2020-01-22 02:00:00
2020-01-23,1,2020,15.23,42.36,24.37,33.27,406.0,2.13,10.38,32.42,15.21,0.807,6.9,2020-01-23 02:00:00
2020-01-24,1,2020,16.83,43.95,24.39,31.66,414.0,2.25,13.52,31.95,13.27,0.846,7.1,2020-01-24 02:00:00
2020-01-25,1,2020,14.82,40.83,23.75,35.42,426.0,1.8,13.46,31.13,12.51,0.793,6.8,2020-01-25 02:00:00
2020-01-26,1,2020,20.73,46.04,22.81,31.15,426.0,2.34,11.3,30.03,14.0,0.81,7.1,2020-01-26 02:00:00
2020-01-27,1,2020,23.89,43.75,21.98,34.27,431.0,2.6,12.4,30.76,14.58,0.807,6.9,2020-01-27 02:00:00
2020-01-28,1,2020,25.94,46.39,24.35,29.26,428.0,2.41,14.21,31.49,14.25,0.828,7.0,2020-01-28 02:00:00
2020-01-29,1,2020,22.87,38.73,25.35,35.92,419.0,2.36,11.05,30.54,13.41,0.782,7.1,2020-01-29 02:00:00
2020-01-30,1,2020,24.15,42.51,23.97,33.52,438.0,2.35,12.51,30.91,13.52,0.864,7.1,2020-01-30 02:00:00
2020-01-31,1,2020,21.73,39.77,22.93,37.3,421.0,2.18,11.42,31.01,14.06,0.847,6.9,2020-01-31 02:00:00
2020-02-01,1,2020,18.75,44.64,23.06,32.3,429.0,2.17,12.74,30.55,13.71,0.812,6.9,2020-02-01 02:00:00
2020-02-02,1,2020,16.35,41.81,20.76,37.43,431.0,2.16,12.39,31.7,12.95,0.794,7.0,2020-02-02 02:00:00
2020-02-03,1,2020,17.7,40.24,25.57,34.19,426.0,2.23,11.76,30.96,13.74,0.842,7.0,2020-02-03 02:00:00
2020-02-04,1,2020,14.91,44.38,21.64,33.98,419.0,2.18,10.32,31.13,15.04,0.829,7.0,2020-02-04 02:00:00
2020-02-05,1,2020,17.6,46.4,24.88,28.72,439.0,2.1,12.58,31.28,15.08,0.844,6.9,2020-02-05 02:00:00
2020-02-06,1,2020,15.82,41.25,22.27,36.48,429.0,2.43,12.59,31.74,15.13,0.765,6.8,2020-02-06 02:00:00
2020-02-07,1,2020,12.88,43.04,23.57,33.39,400.0,2.25,10.85,31.18,14.71,0.889,6.8,2020-02-07 02:00:00
2020-02-08,1,2020,12.72,40.91,25.55,33.54,421.0,2.02,13.09,30.18,14.18,0.892,7.2,2020-02-08 02:00:00
2020-02-09,1,2020,17.96,44.18,23.78,32.04,415.0,2.1,11.08,31.22,13.71,0.795,6.7,2020-02-09 02:00:00
2020-02-10,1,2020,23.67,40.22,21.53,38.25,434.0,2.39,9.62,31.77,15.28,0.801,7.0,2020-02-10 02:00:00
2020-02-11,1,2020,23.31,39.25,25.99,34.76,419.0,2.26,12.97,31.09,14.07,0.864,7.0,2020-02-11 02:00:00
2020-02-12,1,2020,23.26,36.05,25.87,38.08,420.0,2.15,11.62,30.21,12.34,0.916,7.0,2020-02-12 02:00:00
2020-02-13,1,2020,20.41,42.64,22.19,35.17,415.0,2.16,12.98,30.01,14.69,0.818,6.9,2020-02-13 02:00:00
2020-02-14,1,2020,18.06,39.14,25.83,35.03,434.0,2.21,13.0,30.01,13.83,0.81,6.8,2020-02-14 02:00:00
2020-02-15,1,2020,14.92,42.87,24.2,32.93,425.0,2.46,12.22,31.5,14.06,0.743,7.0,2020-02-15 02:00:00
2020-02-16,1,2020,13.51,42.82,24.67,32.51,433.0,2.13,12.16,29.97,14.37,0.781,6.9,2020-02-16 02:00:00
2020-02-17,1,2020,10.87,45.79,21.95,32.26,447.0,2.41,12.16,30.88,14.2,0.792,6.9,2020-02-17 02:00:00
2020-02-18,1,2020,9.12,41.01,23.7,35.29,414.0,2.06,13.05,31.96,13.26,0.85,7.2,2020-02-18 02:00:00
2020-02-19,1,2020,8.56,44.07,23.17,32.76,417.0,2.46,11.26,30.31,13.49,0.905,7.0,2020-02-19 02:00:00
2020-02-20,1,2020,5.0,41.03,25.77,33.2,426.0,2.17,11.54,32.94,14.17,0.85,7.0,2020-02-20 02:00:00
2020-02-21,1,2020,5.0,40.01,24.71,35.28,426.0,2.12,10.88,30.54,13.04,0.841,7.1,2020-02-21 02:00:00
2020-02-22,1,2020,6.01,44.08,23.06,32.86,431.0,2.15,11.68,29.1,14.06,0.84,6.8,2020-02-22 02:00:00
2020-02-23,1,2020,5.0,38.18,24.79,37.03,430.0,2.22,12.65,30.64,13.26,0.851,6.9,2020-02-23 02:00:00
2020-02-24,1,2020,5.0,45.72,22.94,31.34,425.0,2.12,10.78,30.23,16.01,0.854,7.1,2020-02-24 02:00:00
2020-02-25,1,2020,5.48,41.34,23.74,34.92,407.0,1.82,14.66,30.94,15.68,0.862,7.0,2020-02-25 02:00:00
2020-02-26,1,2020,5.0,42.46,21.43,36.11,416.0,2.23,11.29,31.03,13.94,0.694,6.9,2020-02-26 02:00:00
2020-02-27,1,2020,12.64,40.43,24.53,35.04,414.0,2.13,12.42,31.26,13.42,0.891,7.0,2020-02-27 02:00:00
2020-02-28,1,2020,17.39,44.53,21.58,33.89,434.0,2.39,11.87,31.69,14.11,0.894,7.0,2020-02-28 02:00:00
2020-02-29,1,2020,15.18,39.14,23.82,37.04,427.0,2.29,13.33,30.55,15.17,0.901,7.1,2020-02-29 02:00:00
2020-03-01,1,2020,11.71,41.19,25.72,33.09,420.0,2.2,10.67,29.75,14.26,0.831,6.9,2020-03-01 02:00:00
2020-03-02,1,2020,11.84,43.59,23.72,32.69,451.0,2.44,11.37,29.71,13.98,0.902,7.0,2020-03-02 02:00:00
2020-03-03,1,2020,18.22,42.45,25.68,31.87,429.0,2.38,13.46,31.62,14.77,0.89,7.1,2020-03-03 02:00:00
2020-03-04,1,2020,16.68,43.06,23.33,33.61,442.0,2.38,12.4,28.51,14.68,0.919,6.9,2020-03-04 02:00:00
2020-03-05,1,2020,17.01,40.55,23.87,35.58,414.0,2.31,11.49,30.52,15.07,0.806,7.1,2020-03-05 02:00:00
2020-03-06,1,2020,22.89,41.44,24.27,34.29,421.0,2.02,13.41,30.92,14.59,0.871,6.9,2020-03-06 02:00:00
2020-03-07,1,2020,28.09,41.49,24.17,34.34,437.0,2.32,12.08,30.31,14.42,0.804,6.9,2020-03-07 02:00:00
2020-03-08,1,2020,26.58,41.6,26.36,32.04,425.0,2.01,12.78,29.99,13.85,0.788,7.1,2020-03-08 02:00:00
2020-03-09,1,2020,23.5,44.02,25.99,29.99,437.0,2.1,13.16,31.51,13.63,0.824,6.8,2020-03-09 02:00:00
2020-03-10,1,2020,22.15,42.57,24.4,33.03,430.0,2.25,11.29,31.89,13.68,0.876,6.9,2020-03-10 02:00:00
2020-03-11,1,2020,20.4,40.7,25.23,34.07,406.0,2.26,12.54,31.07,14.61,0.935,7.0,2020-03-11 02:00:00
2020-03-12,1,2020,20.3,46.64,25.96,27.4,431.0,2.14,12.78,31.54,13.16,0.802,6.7,2020-03-12 02:00:00
2020-03-13,1,2020,19.34,43.9,25.39,30.71,419.0,2.13,12.0,31.29,14.51,0.751,6.9,2020-03-13 02:00:00
2020-03-14,1,2020,16.52,40.78,24.53,34.69,418.0,2.26,11.78,31.12,15.39,0.848,7.0,2020-03-14 02:00:00
2020-03-15,1,2020,17.13,45.92,24.03,30.05,430.0,2.25,12.4,31.28,15.05,0.829,6.9,2020-03-15 02:00:00
2020-03-16,1,2020,15.46,46.71,24.83,28.46,428.0,2.36,11.89,29.74,12.52,0.877,7.0,2020-03-16 02:00:00
2020-03-17,1,2020,12.68,43.26,23.99,32.75,437.0,1.92,11.85,31.36,13.41,0.84,7.0,2020-03-17 02:00:00
2020-03-18,1,2020,10.94,42.84,21.43,35.73,446.0,2.01,13.24,31.94,14.55,0.912,6.9,2020-03-18 02:00:00
2020-03-19,1,2020,13.56,41.46,23.02,35.52,437.0,2.07,10.03,31.45,13.68,0.837,7.0,2020-03-19 02:00:00
2020-03-20,1,2020,10.82,41.97,21.58,36.45,454.0,2.07,10.58,31.14,12.88,0.854,6.9,2020-03-20 02:00:00
2020-03-21,1,2020,8.31,41.8,23.43,34.77,439.0,2.21,10.18,30.04,15.33,0.914,7.0,2020-03-21 02:00:00
2020-03-22,1,2020,5.0,41.55,23.41,35.04,446.0,2.24,10.73,29.51,13.91,0.864,7.0,2020-03-22 02:00:00
2020-03-23,1,2020,11.37,40.6,26.2,33.2,430.0,2.15,10.83,31.12,13.77,0.872,6.9,2020-03-23 02:00:00
2020-03-24,1,2020,9.77,46.18,23.2,30.62,431.0,2.32,13.5,31.32,15.05,0.948,6.7,2020-03-24 02:00:00
2020-03-25,1,2020,7.69,37.94,26.75,35.31,442.0,2.16,12.43,32.83,13.63,0.78,7.0,2020-03-25 02:00:00
2020-03-26,1,2020,5.86,40.05,24.62,35.33,448.0,2.09,10.9,32.08,11.49,0.885,6.8,2020-03-26 02:00:00
2020-03-27,1,2020,8.27,39.34,23.1,37.56,431.0,2.31,12.88,30.74,14.89,0.939,7.0,2020-03-27 02:00:00
2020-03-28,1,2020,5.0,38.36,25.78,35.86,422.0,2.13,12.86,32.12,14.02,0.866,6.9,2020-03-28 02:00:00
2020-03-29,1,2020,5.0,41.83,23.92,34.25,440.0,2.16,11.7,29.17,13.47,0.915,7.1,2020-03-29 02:00:00
2020-03-30,1,2020,5.0,45.5,23.14,31.36,440.0,2.09,11.81,30.59,13.16,0.922,7.0,2020-03-30 02:00:00
2020-03-31,1,2020,5.73,41.1,23.37,35.53,447.0,2.06,15.39,33.07,12.8,0.821,7.0,2020-03-31 02:00:00
2020-04-01,1,2020,5.0,40.12,24.91,34.97,442.0,2.35,12.79,32.09,14.01,0.9,7.1,2020-04-01 02:00:00
2020-04-02,1,2020,5.12,39.48,20.78,39.74,447.0,2.13,13.35,32.05,12.82,0.888,6.9,2020-04-02 02:00:00
2020-04-03,1,2020,5.2,42.79,22.81,34.4,425.0,2.22,12.55,32.3,15.25,0.817,7.0,2020-04-03 02:00:00
2020-04-04,1,2020,5.46,41.21,25.38,33.41,424.0,1.99,10.28,28.7,14.17,0.87,6.9,2020-04-04 02:00:00
2020-04-05,1,2020,8.04,43.69,22.78,33.53,448.0,2.3,12.61,32.14,14.06,0.889,7.0,2020-04-05 02:00:00
2020-04-06,1,2020,5.38,39.21,26.04,34.75,438.0,2.13,11.46,30.55,14.54,0.822,7.2,2020-04-06 02:00:00
2020-04-07,1,2020,6.23,40.29,19.43,40.28,448.0,2.05,12.74,33.52,14.87,0.966,6.9,2020-04-07 02:00:00
2020-04-08,1,2020,5.0,40.97,23.28,35.75,435.0,2.32,12.38,32.01,15.0,0.988,7.0,2020-04-08 02:00:00
2020-04-09,1,2020,5.0,37.3,23.53,39.17,435.0,2.39,13.15,29.72,14.29,0.943,7.0,2020-04-09 02:00:00
2020-04-10,1,2020,5.0,41.83,25.05,33.12,442.0,2.24,12.29,31.89,13.55,0.905,6.9,2020-04-10 02:00:00
2020-04-11,1,2020,5.05,40.53,23.98,35.49,427.0,2.1,11.83,29.75,13.5,0.858,7.2,2020-04-11 02:00:00
2020-04-12,1,2020,5.52,43.12,24.12,32.76,432.0,2.32,13.02,31.49,13.63,1.013,7.0,2020-04-12 02:00:00
2020-04-13,1,2020,5.0,43.58,24.09,32.33,456.0,2.2,11.35,29.47,15.1,1.021,6.9,2020-04-13 02:00:00
2020-04-14,1,2020,5.26,44.47,22.98,32.55,413.0,2.29,14.13,30.59,14.78,0.938,7.0,2020-04-14 02:00:00
2020-04-15,1,2020,5.0,43.72,23.98,32.3,434.0,2.1,10.86,31.38,12.64,0.994,6.9,2020-04-15 02:00:00
2020-04-16,1,2020,5.0,42.05,23.96,33.99,444.0,1.98,13.6,30.48,13.55,0.871,7.0,2020-04-16 02:00:00
2020-04-17,1,2020,5.0,42.98,23.69,33.33,444.0,2.25,13.78,31.11,14.08,0.843,7.0,2020-04-17 02:00:00
2020-04-18,1,2020,5.48,41.31,25.97,32.72,420.0,2.01,11.86,31.87,14.05,0.883,6.9,2020-04-18 02:00:00
2020-04-19,1,2020,5.56,39.83,22.71,37.46,436.0,2.12,12.55,31.57,13.36,0.89,6.9,2020-04-19 02:00:00
2020-04-20,1,2020,5.0,45.53,25.71,28.76,464.0,2.15,11.87,32.07,13.26,0.981,6.8,2020-04-20 02:00:00
2020-04-21,1,2020,6.33,41.08,26.07,32.85,434.0,2.35,11.83,29.91,14.63,0.949,7.0,2020-04-21 02:00:00
2020-04-22,1,2020,5.82,44.17,24.21,31.62,435.0,1.99,13.52,30.83,15.07,0.859,6.9,2020-04-22 02:00:00
2020-04-23,1,2020,7.1,38.3,24.26,37.44,444.0,2.16,13.11,29.4,13.12,0.927,6.9,2020-04-23 02:00:00
2020-04-24,1,2020,6.51,41.22,24.33,34.45,440.0,2.15,13.76,31.01,13.85,0.965,6.9,2020-04-24 02:00:00
2020-04-25,1,2020,5.82,40.58,22.45,36.97,452.0,2.04,13.16,31.49,13.96,0.986,6.9,2020-04-25 02:00:00
2020-04-26,1,2020,5.0,43.53,20.82,35.65,444.0,2.02,10.5,30.86,14.77,0.945,7.0,2020-04-26 02:00:00
2020-04-27,1,2020,5.0,41.98,24.12,33.9,437.0,2.17,9.93,32.11,14.16,0.896,6.9,2020-04-27 02:00:00
2020-04-28,1,2020,10.5,44.0,24.64,31.36,451.0,2.23,12.54,29.05,13.97,0.933,7.0,2020-04-28 02:00:00
2020-04-29,1,2020,10.73,41.89,26.49,31.62,437.0,2.4,11.52,29.17,14.26,0.821,6.9,2020-04-29 02:00:00
2020-04-30,1,2020,10.05,41.79,24.06,34.15,441.0,2.17,11.22,33.13,13.56,0.928,6.9,2020-04-30 02:00:00
2020-05-01,1,2020,13.17,44.0,26.41,29.59,435.0,2.1,9.46,31.06,14.97,0.907,6.9,2020-05-01 02:00:00
2020-05-02,1,2020,8.43,42.29,21.06,36.65,434.0,2.45,12.34,30.15,13.65,0.851,7.1,2020-05-02 02:00:00
2020-05-03,1,2020,9.97,45.27,22.96,31.77,435.0,2.39,12.97,32.5,14.61,0.941,6.9,2020-05-03 02:00:00
2020-05-04,1,2020,6.21,39.3,21.86,38.84,437.0,2.42,13.17,30.77,14.44,0.929,6.7,2020-05-04 02:00:00
2020-05-05,1,2020,6.88,42.63,26.14,31.23,440.0,2.18,13.37,33.05,15.4,0.957,7.0,2020-05-05 02:00:00
2020-05-06,1,2020,8.54,40.24,24.43,35.33,451.0,2.23,12.34,29.66,13.78,0.843,6.8,2020-05-06 02:00:00
2020-05-07,1,2020,11.64,44.92,22.95,32.13,441.0,2.35,10.91,27.63,14.32,0.902,6.8,2020-05-07 02:00:00
2020-05-08,1,2020,10.17,43.17,23.4,33.43,448.0,2.17,12.03,29.03,14.13,0.936,6.8,2020-05-08 02:00:00
2020-05-09,1,2020,8.72,45.82,22.16,32.02,446.0,2.14,11.95,30.16,12.94,0.98,6.8,2020-05-09 02:00:00
2020-05-10,1,2020,5.06,42.81,22.48,34.71,440.0,2.05,12.96,31.05,13.75,0.889,7.1,2020-05-10 02:00:00
2020-05-11,1,2020,8.63,39.94,23.24,36.82,437.0,2.43,13.38,32.85,15.47,0.861,6.9,2020-05-11 02:00:00
2020-05-12,1,2020,7.09,45.87,22.5,31.63,416.0,2.01,12.74,31.16,13.63,0.943,6.9,2020-05-12 02:00:00
2020-05-13,1,2020,5.18,42.46,22.52,35.02,436.0,2.32,13.73,31.45,13.71,0.946,6.9,2020-05-13 02:00:00
2020-05-14,1,2020,7.44,44.6,20.62,34.78,440.0,2.12,10.95,31.24,12.45,0.951,6.9,2020-05-14 02:00:00
2020-05-15,1,2020,5.0,41.9,24.78,33.32,458.0,2.22,10.71,30.58,13.56,0.921,6.9,2020-05-15 02:00:00
2020-05-16,1,2020,9.31,40.37,26.09,33.54,451.0,2.29,12.83,31.67,14.14,0.928,6.9,2020-05-16 02:00:00
2020-05-17,1,2020,17.31,41.65,28.79,29.56,452.0,2.13,10.62,31.88,14.11,0.916,6.8,2020-05-17 02:00:00
2020-05-18,1,2020,16.12,41.92,25.1,32.98,441.0,2.04,11.82,31.24,12.33,0.924,7.0,2020-05-18 02:00:00
2020-05-19,1,2020,16.75,42.81,23.84,33.35,430.0,2.13,12.18,29.64,13.96,0.895,7.0,2020-05-19 02:00:00
2020-05-20,1,2020,16.94,41.24,25.01,33.75,441.0,2.41,13.7,30.59,13.77,1.03,6.9,2020-05-20 02:00:00
2020-05-21,1,2020,22.57,42.85,25.28,31.87,446.0,2.42,12.8,29.88,12.99,0.871,6.8,2020-05-21 02:00:00
