time,region_id,year_id,crop_id,irrigation_id,region_name,region_country,region_latitude,region_longitude,region_elevation_m,region_area_km2,region_description,year_label,year_start_date,year_end_date,year_season,crop_name,scientific_name,crop_family,water_requirement_mm_season,growing_period_days,crop_description,irrigation_name,irrigation_efficiency_percent_dim,water_application_uniformity,irrigation_description,wind_speed_kmh,wind_gust_kmh,wind_direction,rainfall_mm,rainfall_delta_percent,ph_level,npk_index,temperature_c,humidity_percent,moisture_content_percent,sand_ratio,clay_ratio,silt_ratio,root_zone_depth_mm,organic_matter_percent,infiltration_rate_mmhr,field_capacity_percent,wilting_point_percent,salinity_ece_dsm,soil_ph_level,seasonal_rainfall_variability,temperature_max_c,temperature_min_c,temperature_mean_c,relative_humidity_percent,wind_speed_ms,solar_radiation_mjm2day,evapotranspiration_et0_mmday,evapotranspiration_etc_mmday,spi_1month,spi_3month,spi_12month,spei_1month,spei_3month,spei_12month,pdsi_value,drought_severity_class,growth_stage,crop_coefficient_kc,crop_water_requirement_mmday,yield_reduction_factor,irrigation_method_name,irrigation_efficiency_percent,water_applied_mm,leaf_temperature_c,stomatal_conductance,ndvi,ndwi,land_surface_temperature_c,lst_c,satellite_soil_moisture_percent,satellite_source,vegetation_condition_index,evapotranspiration_sebal_mmday,precipitation_mm,evapotranspiration_mm,groundwater_depth_m,runoff_mm,river_flow_m3s,reservoir_storage_m3,irrigation_supply_available_m3,soil_water_deficit_index_mm,water_balance_percent,risk_level,risk_score,recommendation,factors,soil_moisture_pct,irrigation_mm,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms_daily,solar_radiation_wm2,etc_mm,soil_water_mm,spi,crop_type,days_since_planting,created_at,updated_at
2020-01-02,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,11.2,22.8,S,11.5,0.0,7.4,Med-High,21.9,78.0,34.77,39.64,23.04,37.32,422.0,2.2,9.8,29.77,12.93,0.72,7.1,Low,27.9,15.9,21.9,78.0,3.12,22.48,6.58,6.58,5.18,,,5.92,,,,None,Germination,0.71,4.67,0.433,Drip Irrigation,63.0,1.63,29.3,0.448,0.729,0.6,24.81,24.81,29.92,MODIS,77.54,6.49,11.5,6.6,5.07,1.3,41.5,5031453.0,93303.0,-4.96,175.34,Low,5.1,Maintain current irrigation schedule and monitor weekly.,"{""rainfall_deficit"": 8.5, ""soil_moisture"": 34.0, ""temperature"": 27.9}",34.0,0.0,27.95,15.91,77.58,3.12,260.23,6.58,180.0,5.18,wheat,1,2020-01-02 01:00:00,2020-01-02 02:00:00
2020-01-03,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,8.6,13.8,NW,1.1,-91.0,7.3,Med-High,22.0,69.0,31.36,46.61,25.3,28.09,407.0,2.41,11.59,30.75,13.69,0.838,7.0,Low,28.4,15.6,22.0,69.0,2.4,21.63,6.37,6.37,-0.25,-0.71,-0.71,-1.05,-1.35,-1.24,-1.65,None,Germination,0.63,4.01,0.456,Drip Irrigation,61.0,1.4,30.2,0.437,0.727,0.215,27.54,27.54,33.03,MODIS,76.8,5.8,1.1,6.4,4.67,0.0,12.37,5012892.0,76622.0,5.31,16.62,Moderate,28.4,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.9, ""soil_moisture"": 32.7, ""temperature"": 28.4}",32.66,0.0,28.43,15.56,69.18,2.4,250.37,6.37,174.59,-0.25,wheat,2,2020-01-03 01:00:00,2020-01-03 02:00:00
2020-01-04,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,10.7,23.5,SE,2.0,93.0,7.1,Med-High,22.0,74.0,31.5,41.39,24.65,33.96,420.0,2.23,13.84,32.69,13.64,0.779,7.0,Low,27.1,17.0,22.0,74.0,2.98,20.02,5.9,5.9,0.26,-0.49,-0.49,-0.32,-0.95,-0.88,-1.17,None,Germination,0.62,3.66,0.461,Drip Irrigation,56.0,1.28,28.8,0.467,0.747,0.289,26.52,26.52,31.66,MODIS,84.79,5.35,2.0,5.9,5.17,0.3,10.7,4950157.0,77669.0,3.86,34.58,Low,22.6,Maintain current irrigation schedule and monitor weekly.,"{""rainfall_deficit"": 18.0, ""soil_moisture"": 32.3, ""temperature"": 27.1}",32.33,0.0,27.13,16.96,73.72,2.98,231.71,5.9,170.63,0.26,wheat,3,2020-01-04 01:00:00,2020-01-04 02:00:00
2020-01-05,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,12.6,28.5,SE,0.2,-90.0,7.1,Med-High,22.5,74.0,32.25,41.25,24.09,34.66,419.0,2.03,10.27,31.81,14.66,0.71,7.2,Low,29.2,15.8,22.5,74.0,3.49,18.51,5.52,5.52,-0.69,-0.67,-0.67,-1.49,-1.31,-1.2,-1.6,Abnormally Dry,Germination,0.65,3.59,0.493,Drip Irrigation,64.0,1.26,31.4,0.486,0.756,0.211,27.8,27.8,32.17,MODIS,88.7,4.78,0.2,5.5,4.28,0.0,11.79,4843449.0,95861.0,5.32,3.66,Moderate,32.6,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.8, ""soil_moisture"": 30.4, ""temperature"": 29.2}",30.43,0.0,29.2,15.79,74.36,3.49,214.24,5.52,165.21,-0.69,wheat,4,2020-01-05 01:00:00,2020-01-05 02:00:00
2020-01-06,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,11.3,27.4,E,4.5,2135.0,7.2,Med-High,21.8,66.0,32.62,39.32,23.35,37.33,415.0,2.0,11.53,31.18,14.71,0.836,7.1,Low,27.7,15.8,21.8,66.0,3.13,23.25,6.85,6.85,1.54,0.14,0.14,1.19,-0.14,-0.09,-0.18,None,Germination,0.67,4.59,0.467,Drip Irrigation,54.0,1.61,30.1,0.467,0.737,0.43,25.39,25.39,30.82,MODIS,80.85,6.1,4.5,6.8,4.76,1.5,17.12,4921189.0,73107.0,2.34,65.9,Low,24.5,Maintain current irrigation schedule and monitor weekly.,"{""rainfall_deficit"": 15.5, ""soil_moisture"": 32.0, ""temperature"": 27.7}",31.98,0.0,27.7,15.83,66.11,3.13,269.11,6.85,162.78,1.54,wheat,5,2020-01-06 01:00:00,2020-01-06 02:00:00
2020-01-07,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,11.6,21.0,SE,1.1,-75.0,7.2,Med-High,21.8,67.0,29.54,39.15,24.41,36.44,422.0,2.23,11.76,30.41,14.78,0.733,6.9,Low,28.5,15.2,21.8,67.0,3.23,21.23,6.28,6.28,-0.22,-0.54,-0.54,-0.99,-1.16,-1.06,-1.42,None,Germination,0.66,4.14,0.488,Drip Irrigation,61.0,1.45,29.6,0.434,0.745,0.21,26.24,26.24,29.91,MODIS,84.22,5.67,1.1,6.3,4.59,0.0,18.02,4911172.0,116623.0,5.16,17.83,Moderate,32.8,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 18.9, ""soil_moisture"": 30.7, ""temperature"": 28.5}",30.72,0.0,28.48,15.21,67.36,3.23,245.76,6.28,157.52,-0.22,wheat,6,2020-01-07 01:00:00,2020-01-07 02:00:00
2020-01-08,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,8.8,25.4,N,2.9,158.0,7.2,Med-High,23.7,75.0,31.08,46.09,23.3,30.61,415.0,2.21,9.75,29.76,15.14,0.832,7.1,Low,30.5,16.8,23.7,75.0,2.43,21.37,6.43,6.43,0.7,-0.12,-0.12,0.17,-0.55,-0.47,-0.68,None,Germination,0.64,4.11,0.486,Drip Irrigation,62.0,1.44,30.5,0.433,0.754,0.326,25.38,25.38,34.66,MODIS,87.77,6.17,2.9,6.4,4.43,0.0,15.85,4748401.0,104548.0,3.54,44.85,Moderate,29.9,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 17.1, ""soil_moisture"": 30.9, ""temperature"": 30.5}",30.87,0.0,30.5,16.84,75.33,2.43,247.33,6.43,153.88,0.7,wheat,7,2020-01-08 01:00:00,2020-01-08 02:00:00
2020-01-09,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,10.7,17.5,SE,0.1,-97.0,7.2,Medium,22.4,71.0,28.06,42.34,22.85,34.81,428.0,2.24,9.87,32.98,14.46,0.84,6.9,Low,27.3,17.5,22.4,71.0,2.97,19.81,5.89,5.89,-0.75,-0.75,-0.75,-1.62,-1.45,-1.33,-1.77,Abnormally Dry,Germination,0.68,4.0,0.519,Drip Irrigation,63.0,1.4,29.7,0.438,0.746,0.194,26.01,26.01,29.63,MODIS,84.7,5.49,0.1,5.9,4.76,1.7,12.19,4726285.0,100644.0,5.79,1.62,Moderate,33.6,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.9, ""soil_moisture"": 28.8, ""temperature"": 27.3}",28.85,0.0,27.35,17.47,71.07,2.97,229.28,5.89,147.98,-0.75,wheat,8,2020-01-09 01:00:00,2020-01-09 02:00:00
2020-01-10,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,7.7,24.9,SW,0.3,258.0,7.1,Medium,21.8,66.0,26.9,44.04,22.33,33.63,415.0,2.06,11.78,31.76,14.07,0.819,7.0,Low,28.1,15.6,21.8,66.0,2.14,23.58,6.91,6.91,-0.62,-0.63,-0.63,-1.61,-1.42,-1.29,-1.74,Abnormally Dry,Germination,0.71,4.91,0.554,Drip Irrigation,73.0,1.72,30.0,0.442,0.744,0.211,26.66,26.66,31.43,MODIS,83.74,6.22,0.3,6.9,5.04,0.5,12.68,4821914.0,118856.0,6.57,4.94,Moderate,40.8,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 19.7, ""soil_moisture"": 26.8, ""temperature"": 28.1}",26.76,0.0,28.09,15.6,66.45,2.14,272.93,6.91,141.31,-0.62,wheat,9,2020-01-10 01:00:00,2020-01-10 02:00:00
2020-01-11,1,2020,1,1,Test Region Alpha,Morocco,31.79,-7.08,450,1250.0,Synthetic test region for drought forecasting,2020,2020-01-01,2020-12-31,Winter,Wheat,Triticum aestivum,Poaceae,450.0,150,Synthetic wheat sample for model testing,Drip Irrigation,90.0,95.0,High-efficiency drip irrigation,13.3,25.0,S,3.1,813.0,7.1,Medium,21.7,71.0,26.61,43.24,22.1,34.66,423.0,1.96,10.42,31.84,14.09,0.753,7.1,Low,27.9,15.5,21.7,71.0,3.69,19.92,5.88,5.88,0.82,0.12,0.12,0.41,-0.21,-0.16,-0.27,None,Germination,0.66,3.88,0.544,Drip Irrigation,62.0,1.36,30.0,0.433,0.784,0.346,26.69,26.69,33.57,MODIS,100.0,5.23,3.1,5.9,4.76,0.2,18.99,4662699.0,105533.0,2.76,53.04,Moderate,32.8,Increase irrigation monitoring and conserve soil moisture.,"{""rainfall_deficit"": 16.9, ""soil_moisture"": 27.3, ""temperature"": 27.9}",27.34,0.0,27.91,15.52,71.29,3.69,230.56,5.88,138.45,0.82,wheat,10,2020-01-11 01:00:00,2020-01-11 02:00:00
